Station Name,Latitude (deg) ,Longitude (deg) ,Elevation (ft) ,Year,Month,Day,Hour (CST) ,Avg Air Temp (Degrees F) ,Avg Air Temp Flag,Avg Air Temp at 9 m (Degrees F) ,Avg Air Temp at 9 m Flag,Date
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,100.0,33.759,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,200.0,33.544,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,300.0,33.269,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,400.0,32.842,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,500.0,30.852,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,600.0,31.834,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,700.0,31.615,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,800.0,31.685,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,900.0,32.423,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1000.0,34.092,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1100.0,36.687,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1200.0,38.671,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1300.0,39.538,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1400.0,39.769,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1500.0,39.466,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1600.0,39.292,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1700.0,38.728,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1800.0,37.62,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,1900.0,37.148,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,2000.0,35.611,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,2100.0,33.184,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,2200.0,29.307,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,2300.0,28.234,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,1.0,2400.0,26.895,,,,2021-11-01
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,100.0,26.532,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,200.0,25.219,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,300.0,25.984,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,400.0,27.131,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,500.0,27.716,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,600.0,28.553,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,700.0,29.142,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,800.0,29.532,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,900.0,30.088,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1000.0,32.344,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1100.0,35.949,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1200.0,38.43,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1300.0,39.43,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1400.0,39.427,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1500.0,40.224,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1600.0,40.003,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1700.0,39.348,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1800.0,38.001,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,1900.0,34.525,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,2000.0,31.748,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,2100.0,30.659,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,2200.0,28.686,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,2300.0,25.977,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,2.0,2400.0,24.188,,,,2021-11-02
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,100.0,24.492,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,200.0,26.897,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,300.0,28.665,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,400.0,26.652,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,500.0,26.042,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,600.0,24.721,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,700.0,23.765,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,800.0,23.711,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,900.0,28.366,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1000.0,31.716,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1100.0,36.039,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1200.0,40.131,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1300.0,42.858,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1400.0,44.143,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1500.0,44.881,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1600.0,44.866,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1700.0,43.387,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1800.0,38.547,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,1900.0,35.116,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,2000.0,32.832,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,2100.0,31.179,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,2200.0,31.062,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,2300.0,30.544,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,3.0,2400.0,28.022,,,,2021-11-03
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,100.0,27.381,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,200.0,29.394,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,300.0,30.303,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,400.0,30.918,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,500.0,30.151,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,600.0,29.311,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,700.0,29.899,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,800.0,28.983,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,900.0,32.117,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,1000.0,37.733,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,1100.0,42.931,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,1200.0,46.652,,,,2021-11-04
Ada,47.3211,-96.5139,910.0,2021.0,11.0,4.0,1300.0,49.568,,,,2021-11-04
